Title,Rating,Work Life Balance,Culture Values,Career Opportunities,Comp Benefits,Senior Management,Review Date,Current or Past Employee,Employee Title,Location,Recommends,Outlook,Approves of CEO,Full-Time or Part-Time,Time Employeed,Pros,Cons,Advice to Management
"""Principal Engineer at Yahoo""",4.0,4.0,4.0,4.0,3.0,2.0," Sep 25, 2017",Current,Principal Software Engineer,"Sunnyvale, CA",Yes,Yes,Yes,Full-time,More than 5 years,"Good work culture, exposure to lots of good tech stack, nice perks (free onsite doctor office, gym, yoga, indoor/outdoor games, phone with unlimited data, shuttles etc)",organizational leadership makes non-sense decisions,
"""Great people, great work""",5.0,5.0,5.0,3.0,5.0,4.0," Sep 24, 2017",Current,Software Engineer,"Champaign, IL",Yes,Neutral,Neutral,Full-time,More than 3 years,Great place to work for. Some of the most intelligent colleagues I've had the opportunity to work with and all very enthusiastic.,Typical large company woes: often hard to move up within the company with such large structure. One of the most common reasons I hear of colleagues leaving is career growth opportunity.,
"""Technician""",5.0,5.0,5.0,5.0,5.0,5.0," Sep 23, 2017",Past,Anonymous Employee,,Yes,Yes,Yes,Full-time,Less than a year,"Very nice working environment, good salary",I don't see some cons at Yahoo.,
"""Yahoo is now owned by Verizon""",5.0,,,,,," Sep 22, 2017",Past,Anonymous Employee,,Yes,Neutral,Yes,Full-time,,"I had a great experience, but did not go to Verizon",A roller coaster! But great people,Launch great products
"""great place to work!""",4.0,3.0,4.0,4.0,3.0,3.0," Sep 21, 2017",Past,Anonymous Employee,"Sunnyvale, CA",Yes,Neutral,Yes,Full-time,More than 3 years,Very close to where I live,Dont see cons working at Yahoo,
"""Company culture""",3.0,3.0,3.0,2.0,3.0,2.0," Oct 3, 2017",Current,Software Engineer,"Sunnyvale, CA",Yes,Neutral,Neutral,Full-time,Less than a year,Good company with lots of choices to select department.,Lots of legacy stuff. Hard to moving forward.,
"""Account Manager""",4.0,4.0,4.0,4.0,4.0,4.0," Sep 14, 2017",Past,Anonymous Employee,,Yes,Neutral,Neutral,Full-time,,Great network and resources available to you,Promotions are rare and difficult as there are many layer to go through,
"""good company to stay""",4.0,5.0,5.0,3.0,4.0,4.0," Sep 11, 2017",Current,Anonymous Employee,,Yes,No,Yes,Full-time,,"good food, funny work, good work life balance",not good salary/ bonus. very few RSU compare to other internet company,
"""Software engineer""",4.0,4.0,3.0,3.0,4.0,3.0," Sep 10, 2017",Current,Software Engineer,"Sunnyvale, CA",Yes,Neutral,Yes,Full-time,More than 3 years,* freedom of tech stack<br>* Interesting problems,* some level of politics,
"""Looking at the photos, I almost cried""",4.0,4.0,4.0,3.0,5.0,3.0," Sep 6, 2017",Past,Editor,"Sunnyvale, CA",Yes,Neutral,Neutral,Full-time,More than 8 years,"This place was my life for almost a decade--I bled purple! I had tons of vacation time, fun outings, free food, many perks and great friends. Comfortable workspace and places to relax.","Lay-offs, the reason why I am no longer there, was always a heartbreaking experience. Seeing people return from maternity leave getting laid off was pretty messed up.",
"""I love Yahoo""",5.0,4.0,5.0,5.0,5.0,4.0," Sep 8, 2017",Past,Anonymous Employee,"Sunnyvale, CA",Yes,Neutral,Neutral,Full-time,More than 10 years,* Yahoo Brand<br>* Opportunity to work with great talent<br>* Employee Growth<br>* Great Culture<br>* Employee Perks,* Constant Top Management shuffle<br> * More Frequent shift in company's focus and direction,
"""Good People Difficult Management""",4.0,,,,,," Sep 7, 2017",Current,Anonymous Employee,,No,No,Neutral,Full-time,,Lots of talented and great people to work with.,Lots of politics and red tap especially in recent times,
"""Good place to start your career""",3.0,4.0,4.0,3.0,3.0,3.0," Sep 21, 2017",Current,Anonymous Employee,,Yes,Neutral,Neutral,Full-time,,-great benefits<br>-good tech platform<br>-work life balance,"growth, pay, company future and outlook",Focused strategy for the company
"""Overall good place to work""",5.0,5.0,5.0,5.0,4.0,3.0," Sep 2, 2017",Past,Anonymous Employee,,Yes,Yes,Yes,Full-time,,"Good culuture, lots of interesting opportunities","Lots of distractions from the media, some workplace politics",
"""Strong engineering culture but crappy product""",4.0,5.0,5.0,4.0,5.0,3.0," Aug 27, 2017",Current,Senior Software Engineer,"New York, NY",Yes,No,Yes,Full-time,More than 3 years,- Strong engineering culture<br>- IC4+ are definitely smart<br>- Generous comp package<br>- Great benefits/perks. Insurance is top of the line. Free food. Generous PTO.<br>- Verizon discounts,"- Conservative lifers are still here resting &amp; vesting, taking control of higher level technology decisions.<br>- PMs are weak, no product breakthrough.<br>- Petty politics","Lay off the lifers, get new people with fresh ideas in."
"""i love it""",4.0,4.0,4.0,5.0,4.0,4.0," Aug 29, 2017",Past,Team Member,"New York, NY",Yes,Yes,Yes,Part-time,Less than a year,great salaries<br>great food<br>coworker,people<br>i dont like the stress<br>likes,nothing
"""Program Manager""",3.0,2.0,5.0,5.0,1.0,3.0," Sep 10, 2017",Current,Program Manager,"Sunnyvale, CA",Yes,Yes,Yes,Full-time,More than 5 years,"Great People, Culture and Benefits, Opportunity for experience growth","Poor pay, Experience does not come with compensation, your scope can increase 100x and not increase pay",Compensate appropriately
"""Lack of resources and stifling bureucracy""",1.0,4.0,4.0,3.0,5.0,1.0," Oct 3, 2017",Past,Anonymous Employee,"Sunnyvale, CA",No,No,Neutral,Full-time,Less than a year,"They were competitive on pay, level and the free food is great! Various shuttles to CalTrain and elsewhere also came in very handy.","I came from Google where you can run a job on 1000s of cores, no questions asked, to Yahoo where you got up 5 wimpy virtual machines... Then there were the early morning standups and status reports. Finally, everything seemed to be in a flux, with projects cancelled and arrogant acqui-hires - it wasn't quite clear what I should be working on.",Invest more in infrastructure. You can't compete with Google without servers.
"""DevOps Engineer""",5.0,5.0,5.0,1.0,,," Aug 28, 2017",Past,Anonymous Employee,,Yes,Neutral,Neutral,Full-time,More than 5 years,Give time to engineers to improve their professional skills.<br>Collaboration cross teams.<br>Autonomous<br>Hackaton<br>Free food: I mean all kind of healthy food you know<br>Free fitness<br>Great performance management,Can't work remote.<br>Old technology and complex legacy systems made in yahoo<br>Conflicting culture values: old school vs new school.<br>Cheapest rate I have seen for a such complex system architecture,
"""Search Marketing Expert""",5.0,4.0,5.0,4.0,5.0,3.0," Aug 22, 2017",Past,Search Marketing Specialist,"Burbank, CA",Yes,No,Neutral,Full-time,,Flexible hours<br>rewarded for performance<br>great pay and benefits,layoffs<br>people fail upwards<br>high workload<br>limited staff in each area<br>shift bids,
"""Senior Product manager""",2.0,4.0,2.0,1.0,3.0,2.0," Sep 7, 2017",Current,Anonymous Employee,,No,No,Neutral,Full-time,More than 3 years,- Average plus compensation<br>- good level 401K matching,- No strong strategy<br>- Very high attrition of experienced employees,
"""Web Content Editor""",3.0,4.0,4.0,3.0,3.0,1.0," Sep 7, 2017",Past,Web Content Editor,"Sunnyvale, CA",Yes,No,Neutral,Full-time,More than 5 years,"Great people, positive culture, state-of-the-art tools","Change happens slowly, communication between teams is lacking",Focus less on the stock price and what the industry/critics are saying and more on products and consumers.
"""Sr. UI/UX Designer""",4.0,5.0,5.0,5.0,5.0,4.0," Aug 23, 2017",Current,Anonymous Employee,"Sunnyvale, CA",Yes,Neutral,Neutral,Full-time,More than a year,Compensation and benefits are great and there are a lot of talented people here.,"All offices have their dysfunction, but it seems some internal forces hold back the launch of good work.",Consider installing a formalized workflow to better get to product and feature launches.
"""Good""",2.0,5.0,3.0,2.0,3.0,3.0," Sep 4, 2017",Past,Anonymous Employee,,No,Neutral,Neutral,Part-time,,"Very easy, people are ok",It can get pretty boring,
"""Engineering velocity""",3.0,4.0,4.0,3.0,2.0,4.0," Aug 31, 2017",Past,Senior Software Engineering Manager,"Sunnyvale, CA",Yes,No,Neutral,Full-time,More than 3 years,- Small teams with focused development<br>- Product and Engineering managers act as glue between teams for larger projects<br>- Engineering manager has two distinct roles: Project Manager &amp; Talent Manager. Employees reporting to a manager may not work on the same project of his/her manager. Forces culture of building on the success of others and engages people manager to help employees to grow.,- Bad business<br>- CEO removed cash/stock incentives while took big payouts,- Should have created the right incentive payout for the CEO using targets
"""Post MM - More of a review of Oath""",3.0,3.0,4.0,2.0,3.0,1.0," Aug 30, 2017",Past,Anonymous Employee,,No,No,Yes,Full-time,More than 3 years,People there were awesome and worked together real well. The culture was great!,"Leadership - The new leadership is clueless<br>Growth - upward mobility is difficult if you dont politic. Hard work does not speak, yes men do.",
"""Review of Yahoo""",4.0,,,,,," Aug 14, 2017",Current,Anonymous Employee,,No,No,Neutral,Full-time,,See your code go live at large scale,Unclear strategic focus or competitive differentiation,
"""where is it going""""",3.0,3.0,1.0,2.0,5.0,1.0," Aug 23, 2017",Past,Anonymous Employee,,No,Neutral,Neutral,Full-time,More than 3 years,"benefits, recognized name, variety of work","management, red tape, lack of forward thinking",stop wasting money
"""Racism on the job""",1.0,2.0,1.0,1.0,1.0,1.0," Sep 12, 2017",Past,Software Engineer,"Sunnyvale, CA",Yes,Yes,Yes,Full-time,More than a year,OK salary for Bay Area,Very racist environment. Indians team on anyone who isn't indian. They also hire majority indians and do not accept anyone else because of race. That is illegal.,"Racism has to go. It's unacceptable, and detrimental to not just your company but society"
"""Positive experience, large scale projects""",5.0,3.0,5.0,5.0,4.0,3.0," Aug 4, 2017",Current,Anonymous Employee,"Sunnyvale, CA",Yes,No,Yes,Full-time,Less than a year,I like working with smart people and there are a lot who work here. The benefits are quite good here compared to others that I've been employed by - especially the free food. Some very good managers that give you freedom to be creative.,"There are many different levels of commitment in different teams and a lot of entitlement within the culture. Overall, I think it felt better when we were as independent company and not under Oath. Less pride in the brand now than before the merger.",Sometimes you should ask the opinion of the people who are actually performing the work before setting deadlines - walk before you run.
"""Good place to work short term to learn""",4.0,4.0,3.0,4.0,5.0,2.0," Aug 6, 2017",Current,Anonymous Employee,,Yes,Yes,Neutral,Full-time,,"Good technology, smart co-workers, good perks","Management is a mess, no long term plan",
"""Software Engineer Intern""",5.0,,,,,," Aug 5, 2017",Past,Anonymous Employee,,No,Neutral,Neutral,Full-time,More than 3 years,"Great people, food, work environment",Company growth is stagnant in general,
"""Business Analytics Manager""",5.0,,,,,," Aug 1, 2017",Current,Anonymous Employee,,Yes,Neutral,Yes,Full-time,,Great company that provides good benefits,There isn't really any cons. I love this company,
"""It was fun while it lasted""",4.0,3.0,5.0,4.0,4.0,2.0," Aug 1, 2017",Past,Anonymous Employee,,Yes,No,Yes,Full-time,More than 3 years,"Supportive environment, lots of room to grow",New roles and increased responsibilities didn't come with a pay increase.,
"""Good company - lack of vision""",4.0,5.0,3.0,4.0,5.0,3.0," Jul 28, 2017",Past,Marketplace Product Specialist,"Burbank, CA",Yes,Yes,Neutral,Full-time,More than 3 years,"Great teams, friendly environment. Good culture!",sometimes vision and direction aren't consistent. We commonly seem to be changing gears and moving in different directions.,clearer vision. (easier said than done)
"""Account Director""",4.0,5.0,5.0,3.0,4.0,4.0," Jul 27, 2017",Past,Anonymous Employee,,No,Neutral,Yes,Full-time,More than a year,Yahoo employees receive good pay for the job they do and few positions are overworked. Most people are able to make a good living and leave work at work and get out at 5pm each night. People get along well.,With a company this big you run into a slow moving organization that - by the time a change is made - it often times is already too late and outdated. Company now going through transition after being acquired by AOL Verizon,"Listen to employees that are talking to customers when making decisions, not just product people who do not have an idea of what advertisers want from their publishers. This will go a long way in avoiding rollouts of products that customers do not want or buy."
